group,axis,config_id,scenario,cbr_level,algo,scheduling,pkeep,denm_copies,seed,prr,denm_prr,cam_prr,cbr,latency_ms,harm_int,harm_peak,denm_tx,msg_total,msg_decoded
main,scenario,basic_algo,basic,na,1,sps,0.0,1,1,0.993902,1.0,0.9977476666666667,0.0256658,10.689,76.32198000000008,18.99514,28,286,286
main,scenario,basic_algo,basic,na,1,sps,0.0,1,2,0.991935,1.0,0.996124,0.030787,9.79438,65.24281250000007,18.0875,29,296,296
main,scenario,basic_algo,basic,na,1,sps,0.0,1,3,0.997942,1.0,0.998062,0.032225,10.1325,76.32198000000008,18.99514,28,291,291
main,scenario,basic_algo,basic,na,1,sps,0.0,1,4,0.997976,1.0,1.0,0.0279429,9.1947,76.5975000000001,19.0325,28,290,290
main,scenario,basic_algo,basic,na,1,sps,0.0,1,5,0.981855,1.0,0.9810279999999999,0.0355855,11.7622,76.5975000000001,19.0325,28,286,286
main,scenario,basic_noalgo,basic,na,0,sps,0.0,1,1,0.992187,1.0,0.9913793333333333,0.0178061,10.7814,14.01572971000011,5.82,15,416,416
main,scenario,basic_noalgo,basic,na,0,sps,0.0,1,2,0.993878,1.0,0.9929076666666666,0.0261482,10.8314,7.8295389349999995,4.06707,13,397,397
main,scenario,basic_noalgo,basic,na,0,sps,0.0,1,3,1.0,1.0,1.0,0.0270967,9.86087,14.01572971000011,5.82,15,427,427
main,scenario,basic_noalgo,basic,na,0,sps,0.0,1,4,0.998062,1.0,1.0,0.0255404,9.81249,14.01572971000011,5.82,15,425,425
main,scenario,basic_noalgo,basic,na,0,sps,0.0,1,5,0.984496,1.0,0.9793006666666667,0.0341916,11.5641,14.01572971000011,5.82,15,415,415
main,cbr_sweep,highway_high_algo,highway_high,high,1,sps,0.0,1,1,0.976755,0.9404434583333331,0.9839019166666666,1.0,14.118,8672.618375936636,538.1391485390001,1142,433404,433404
main,cbr_sweep,highway_high_algo,highway_high,high,1,sps,0.0,1,2,0.972564,0.9361930799999993,0.9807237662337661,1.0,14.1741,12201.856394637518,712.5665946399998,1211,473268,473268
main,cbr_sweep,highway_high_algo,highway_high,high,1,sps,0.0,1,3,0.974602,0.9573487460317461,0.9809382222222217,1.0,13.6091,6254.15859881431,383.234351,1073,376847,376847
main,cbr_sweep,highway_high_algo,highway_high,high,1,sps,0.0,1,4,0.973742,0.9417582077922076,0.9815091168831166,1.0,14.8379,6557.727795453966,393.8173446499999,1380,482990,482990
main,cbr_sweep,highway_high_algo,highway_high,high,1,sps,0.0,1,5,0.97498,0.9518579066666666,0.9809474133333334,1.0,14.4244,7190.270246256523,475.66476593000016,1293,438239,438239
main,cbr_sweep,highway_high_noalgo,highway_high,high,0,sps,0.0,1,1,0.982649,1.0,0.985777880952381,1.0,13.2458,12498.586992055467,642.1811414540002,8,547585,547585
main,cbr_sweep,highway_high_noalgo,highway_high,high,0,sps,0.0,1,2,0.97903,1.0,0.9830087142857141,1.0,13.3587,14921.478332017376,700.7224064899992,8,538908,538908
main,cbr_sweep,highway_high_noalgo,highway_high,high,0,sps,0.0,1,3,0.980055,0.9848128,0.9853909176470589,1.0,13.0969,10200.926862523389,587.3328088539989,38,553830,553830
main,cbr_sweep,highway_high_noalgo,highway_high,high,0,sps,0.0,1,4,0.980199,0.982143,0.9820478850574708,1.0,13.3651,8311.839898110355,458.7266973199994,6,587573,587573
main,cbr_sweep,highway_high_noalgo,highway_high,high,0,sps,0.0,1,5,0.98075,1.0,0.9833003529411768,1.0,13.2206,7840.221911793516,431.2584769999999,10,539908,539908
main,cbr_sweep,highway_low_algo,highway_low,low,1,sps,0.0,1,1,0.987052,0.9755092083333331,0.9893611600000001,1.0,11.7234,1302.8519478687992,86.674992,342,40605,40605
main,cbr_sweep,highway_low_algo,highway_low,low,1,sps,0.0,1,2,0.987869,0.9867760400000001,0.9918532800000002,1.0,11.7894,1421.4914496210001,136.575474,310,40668,40668
main,cbr_sweep,highway_low_algo,highway_low,low,1,sps,0.0,1,3,0.989888,0.9801080000000001,0.9938853999999999,1.0,11.6012,765.0803845800004,66.39453400000001,308,32204,32204
main,cbr_sweep,highway_low_algo,highway_low,low,1,sps,0.0,1,4,0.982163,0.9506645652173915,0.98392372,1.0,11.7708,1246.6568806850003,101.15430200000002,372,44097,44097
main,cbr_sweep,highway_low_algo,highway_low,low,1,sps,0.0,1,5,0.985874,0.9725104166666666,0.9907382000000001,1.0,12.395,1345.1380365739997,93.53266284,408,42859,42859
main,cbr_sweep,highway_low_noalgo,highway_low,low,0,sps,0.0,1,1,0.988758,1.0,0.9852510000000002,1.0,11.2952,1483.4041197309991,78.35434360000002,4,45838,45838
main,cbr_sweep,highway_low_noalgo,highway_low,low,0,sps,0.0,1,2,0.989946,1.0,0.9935807999999998,1.0,11.3503,1277.2172066569997,66.88255807,4,45430,45430
