group,axis,config_id,scenario,cbr_level,algo,scheduling,pkeep,denm_copies,n_seeds,prr_mean,prr_std,denm_prr_mean,denm_prr_std,cam_prr_mean,cam_prr_std,cbr_mean,cbr_std,latency_ms_mean,latency_ms_std,harm_int_mean,harm_int_std,harm_peak_mean,harm_peak_std,denm_tx_mean,denm_tx_std,msg_total_mean,msg_total_std,msg_decoded_mean,msg_decoded_std
main,scenario,basic_algo,basic,na,1,sps,0.0,1,5,0.992722,0.006614,1.0,0.0,0.994592,0.007707,0.030441,0.003834,10.314556,0.973869,74.216355,5.018254,18.828556,0.414684,28.2,0.447214,289.8,4.147288,289.8,4.147288
main,scenario,basic_noalgo,basic,na,0,sps,0.0,1,5,0.993725,0.006036,1.0,0.0,0.992718,0.008484,0.026157,0.005821,10.570052,0.737893,12.778492,2.766549,5.469414,0.783934,14.6,0.894427,416,11.874342,416,11.874342
main,cbr_sweep,highway_high_algo,highway_high,high,1,sps,0.0,1,5,0.974529,0.001553,0.94552,0.008761,0.981604,0.001317,1.0,0.0,14.2327,0.449578,8175.326282,2436.087524,500.684441,134.292578,1219.8,121.143304,440949.6,41789.05649,440949.6,41789.05649
main,cbr_sweep,highway_high_noalgo,highway_high,high,0,sps,0.0,1,5,0.980537,0.001334,0.993391,0.009099,0.983905,0.001607,1.0,0.0,13.25742,0.110804,10754.610799,2965.282287,564.044306,116.245965,14,13.490738,553560.8,19960.685727,553560.8,19960.685727
main,cbr_sweep,highway_low_algo,highway_low,low,1,sps,0.0,1,5,0.986569,0.002865,0.973114,0.013653,0.989952,0.003755,1.0,0.0,11.85596,0.31013,1216.24374,260.151243,96.866393,25.684187,348,42.591079,40086.6,4650.582146,40086.6,4650.582146
main,cbr_sweep,highway_low_noalgo,highway_low,low,0,sps,0.0,1,5,0.988365,0.001558,1.0,0.0,0.987709,0.005039,1.0,0.0,11.44592,0.227874,1238.267532,260.684576,65.509395,12.32499,4.8,1.788854,46690.6,2514.761977,46690.6,2514.761977
main,cbr_sweep,highway_mid_algo,highway_mid,mid,1,sps,0.0,1,5,0.979115,0.003405,0.964497,0.016293,0.985754,0.002063,1.0,0.0,12.70218,1.06346,4423.455618,3500.607284,288.074225,170.551995,732.2,361.367126,204704.6,110257.181089,204704.6,110257.181089
main,cbr_sweep,highway_mid_noalgo,highway_mid,mid,0,sps,0.0,1,5,0.984297,0.001101,0.986593,0.012052,0.987301,0.000382,1.0,0.0,12.54218,0.266516,8964.958407,2996.047691,513.882946,155.88605,14,7.348469,390166.2,4420.123494,390166.2,4420.123494
main,scenario,organic_basic_algo,organic_basic,na,1,sps,0.0,1,5,0.994132,0.005165,,,0.993117,0.007362,0.029414,0.00513,10.59338,0.50563,,,,,0,0.0,397.6,8.961027,397.6,8.961027
main,scenario,organic_basic_noalgo,organic_basic,na,0,sps,0.0,1,5,0.994132,0.005165,,,0.993117,0.007362,0.029414,0.00513,10.59338,0.50563,,,,,0,0.0,397.6,8.961027,397.6,8.961027
network,denm_copies,hwmid_copies1_algo,highway_mid,mid,1,sps,0.0,1,5,0.979115,0.003405,0.964497,0.016293,0.985754,0.002063,1.0,0.0,12.70218,1.06346,4423.455618,3500.607284,288.074225,170.551995,732.2,361.367126,204704.6,110257.181089,204704.6,110257.181089
network,denm_copies,hwmid_copies1_noalgo,highway_mid,mid,0,sps,0.0,1,5,0.984297,0.001101,0.986593,0.012052,0.987301,0.000382,1.0,0.0,12.54218,0.266516,8964.958407,2996.047691,513.882946,155.88605,14,7.348469,390166.2,4420.123494,390166.2,4420.123494
network,denm_copies,hwmid_copies2_algo,highway_mid,mid,1,sps,0.0,2,5,0.97829,0.003942,0.957377,0.014657,0.985709,0.00303,1.0,0.0,12.986875,1.14361,4528.856809,3429.650095,297.348082,162.930709,686.4,537.140857,205573.6,109759.749067,205573.6,109759.749067
network,denm_copies,hwmid_copies2_noalgo,highway_mid,mid,0,sps,0.0,2,5,0.984263,0.001085,0.982804,0.014247,0.987281,0.000387,1.0,0.0,12.55152,0.26062,8964.958407,2996.047691,513.882946,155.88605,20,11.022704,390142.4,4415.987466,390142.4,4415.987466
network,denm_copies,hwmid_copies3_algo,highway_mid,mid,1,sps,0.0,3,5,0.978892,0.004209,0.95921,0.015184,0.985985,0.002843,1.0,0.0,12.7841,1.137393,4446.513631,3471.690156,290.13921,167.61879,898.2,422.219374,205348.6,110058.153818,205348.6,110058.153818
network,denm_copies,hwmid_copies3_noalgo,highway_mid,mid,0,sps,0.0,3,5,0.984284,0.001095,0.982041,0.012049,0.987283,0.000399,1.0,0.0,12.56108,0.26819,8964.958407,2996.047691,513.882946,155.88605,26,14.696938,390143.8,4426.994093,390143.8,4426.994093
network,sched_pkeep,hwmid_dynamic_algo,highway_mid,mid,1,dynamic,0.0,1,5,0.978037,0.002166,0.950509,0.021419,0.985693,0.001673,1.0,0.0,7.524434,1.298617,4581.963771,3787.434175,309.288067,194.419666,720.4,349.951139,205249.4,111158.64097,205249.4,111158.64097
network,sched_pkeep,hwmid_dynamic_noalgo,highway_mid,mid,0,dynamic,0.0,1,5,0.98375,0.001856,0.997315,0.005296,0.986201,0.000921,1.0,0.0,7.651196,0.23957,8964.958407,2996.047691,513.882946,155.88605,14,7.348469,389565.2,3712.127113,389565.2,3712.127113
network,sched_pkeep,hwmid_sps_pk0.0_algo,highway_mid,mid,1,sps,0.0,1,5,0.979115,0.003405,0.964497,0.016293,0.985754,0.002063,1.0,0.0,12.70218,1.06346,4423.455618,3500.607284,288.074225,170.551995,732.2,361.367126,204704.6,110257.181089,204704.6,110257.181089
network,sched_pkeep,hwmid_sps_pk0.0_noalgo,highway_mid,mid,0,sps,0.0,1,5,0.984297,0.001101,0.986593,0.012052,0.987301,0.000382,1.0,0.0,12.54218,0.266516,8964.958407,2996.047691,513.882946,155.88605,14,7.348469,390166.2,4420.123494,390166.2,4420.123494
network,sched_pkeep,hwmid_sps_pk0.2_algo,highway_mid,mid,1,sps,0.2,1,5,0.979567,0.001861,0.964495,0.012837,0.985074,0.001454,1.0,0.0,12.46664,0.92881,4681.201224,3592.356996,329.76406,198.04151,742.6,378.280055,209220.4,114087.405292,209220.4,114087.405292
network,sched_pkeep,hwmid_sps_pk0.2_noalgo,highway_mid,mid,0,sps,0.2,1,5,0.984222,0.001299,0.996335,0.006137,0.987064,0.001688,1.0,0.0,12.5189,0.239139,8964.958407,2996.047691,513.882946,155.88605,14,7.348469,389784.8,4624.90894,389784.8,4624.90894
network,sched_pkeep,hwmid_sps_pk0.4_algo,highway_mid,mid,1,sps,0.4,1,5,0.978648,0.002195,0.961652,0.0124,0.984726,0.002354,1.0,0.0,12.67716,0.870784,4508.944368,3472.584512,310.318453,180.539382,727.8,359.262021,206022.8,110553.334539,206022.8,110553.334539
network,sched_pkeep,hwmid_sps_pk0.4_noalgo,highway_mid,mid,0,sps,0.4,1,5,0.984136,0.000798,0.998142,0.00255,0.98682,0.001731,1.0,0.0,12.39918,0.172085,8964.958407,2996.047691,513.882946,155.88605,14,7.348469,389972.8,3617.154918,389972.8,3617.154918
network,sched_pkeep,hwmid_sps_pk0.6_algo,highway_mid,mid,1,sps,0.6,1,5,0.979678,0.001695,0.959794,0.017086,0.985758,0.001825,1.0,0.0,12.5326,1.101206,4566.102555,3477.927763,315.886064,184.959778,718.8,335.943001,205213.2,111229.056468,205213.2,111229.056468
network,sched_pkeep,hwmid_sps_pk0.6_noalgo,highway_mid,mid,0,sps,0.6,1,5,0.984803,0.002729,0.974122,0.041919,0.98756,0.002442,1.0,0.0,12.30272,0.347953,8964.958407,2996.047691,513.882946,155.88605,14,7.348469,389782,3582.773995,389782,3582.773995
network,sched_pkeep,hwmid_sps_pk0.8_algo,highway_mid,mid,1,sps,0.8,1,5,0.978619,0.003632,0.96304,0.014772,0.983846,0.003557,1.0,0.0,12.72818,0.78148,4451.547305,3400.294075,289.049315,159.993848,724.8,337.411766,205378.4,111723.975694,205378.4,111723.975694
network,sched_pkeep,hwmid_sps_pk0.8_noalgo,highway_mid,mid,0,sps,0.8,1,5,0.985369,0.002572,0.96881,0.066467,0.987728,0.0027,1.0,0.0,12.23734,0.360373,8964.958407,2996.047691,513.882946,155.88605,14,7.348469,389655,4692.616594,389655,4692.616594
